paso,i,j,id,raza,energia,resistente,estado
11,6,5,espirilos_5_5_hija,espirilos,55,True,biofilm
11,6,6,espirilos_5_5_hija_hija,espirilos,41,False,activa
11,7,4,espirilos_5_5_hija_hija_hija,espirilos,43,False,biofilm
11,7,5,espirilos_5_5_hija_hija,espirilos,46,False,activa
11,7,6,espirilos_5_5_hija_hija_hija,espirilos,46,True,activa
11,8,4,espirilos_5_5_hija_hija_hija_hija,espirilos,35,True,activa
11,8,5,espirilos_5_5_hija_hija_hija,espirilos,39,False,activa
11,9,4,espirilos_5_5_hija_hija_hija_hija_hija,espirilos,49,False,activa
11,9,5,espirilos_5_5_hija_hija_hija_hija,espirilos,44,True,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,43,False,activa
0,5,5,espirilos_5_5,espirilos,43,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,espirilos_5_5_hija,espirilos,26,False,activa
0,5,5,espirilos_5_5,espirilos,26,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,5,5,espirilos_5_5,espirilos,39,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,4,5,cocos_5_5_hija,cocos,40,False,activa
0,5,5,cocos_5_5,cocos,40,False,activa
paso,i,j,id,raza,energia,resistente,estado
0,5,5,cocos_5_5,cocos,61,False,inactiva
